council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url,transcript_as_csv_path
oakland,580a657823c3,2020-11-10 21:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/b729aa13c724?s=0,https://oakland.legistar1.com/oakland/meetings/2020/11/8444_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_20-11-10_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/88dd5d52f60913bec0b7e1b4fcbcf5449f3b6ebc2e36c22efd9caad2201a2093-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-b729aa13c724/session-580a657823c3/transcript.csv
oakland,07fde4f4317a,2021-04-22 17:30:00+00:00,*Rules & Legislation Committee,other,https://councildataproject.org/oakland/#/events/25ab4c58e30f?s=0,https://oakland.legistar1.com/oakland/meetings/2021/4/8521_M__Rules___Legislation_Committee_21-04-22_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/bd801ddf15fca9e83db820b54ca3f9fbf7c599e328fb845ec779f0237fdf2d8b-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-25ab4c58e30f/session-07fde4f4317a/transcript.csv
oakland,c63f15c4d07d,2022-03-01 21:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/0e44c06eaf1d?s=0,https://oakland.legistar1.com/oakland/meetings/2022/3/8648_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_22-03-01_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/3476430e8fa04f72babf09d7ef6753e8e1c701f99523e74296d7063103718db0-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-0e44c06eaf1d/session-c63f15c4d07d/transcript.csv
oakland,67ab78b5025f,2020-02-25 22:00:00+00:00,*Special Life Enrichment Committee,other,https://councildataproject.org/oakland/#/events/9edb7eb8dbbe?s=0,https://oakland.legistar1.com/oakland/meetings/2020/2/8366_M__Special_Life_Enrichment_Committee_20-02-25_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/e687cb49f8c385f870808f0fc43444a2565067f3f2876cd1e65a7351d733ac18-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-9edb7eb8dbbe/session-67ab78b5025f/transcript.csv
oakland,98ced11d009c,2021-12-14 22:00:00+00:00,*Special Public Safety Committee,other,https://councildataproject.org/oakland/#/events/281ed080f1cd?s=0,https://oakland.legistar1.com/oakland/meetings/2021/12/8618_M__Special_Public_Safety_Committee_21-12-14_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/a18913807bf2299fa16760e0f3fd5cf4b4d0c04d58dd4c313f6b76dd1b489172-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-281ed080f1cd/session-98ced11d009c/transcript.csv
oakland,ce13df196e58,2021-03-30 16:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/1c5ff4d5383b?s=0,https://oakland.legistar1.com/oakland/meetings/2021/3/8489_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-03-30_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/e179ad6961eb14c639642c673712367cc979bf33aed5315d5ecb1b0cbfbb2969-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-1c5ff4d5383b/session-ce13df196e58/transcript.csv
oakland,ab5cd8baf3ee,2022-10-20 17:30:00+00:00,*Rules & Legislation Committee,other,https://councildataproject.org/oakland/#/events/734f69f33d1a?s=0,https://oakland.legistar1.com/oakland/meetings/2022/10/8743_M__Rules___Legislation_Committee_22-10-20_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/77d42858d39fa30c18f2ccf2ac98217e48eb8d6517b211f55340140263145423-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-734f69f33d1a/session-ab5cd8baf3ee/transcript.csv
oakland,fb064f062166,2021-09-28 20:30:00+00:00,*Community & Economic Development Committee,housing committee,https://councildataproject.org/oakland/#/events/48ae88b9604d?s=0,,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/0e7b6edc996a8031200c1ef0743514dc78f4f360a8f51cdb6e8881bcb8f47839-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-48ae88b9604d/session-fb064f062166/transcript.csv
oakland,4fca769186e0,2023-03-28 23:00:00+00:00,*Special Public Safety Committee,other,https://councildataproject.org/oakland/#/events/ddf75ddfbc1d?s=0,https://oakland.legistar1.com/oakland/meetings/2023/3/8846_M__Special_Public_Safety_Committee_23-03-28_Meeting_Minutes.pdf,https://archive-video.granicus.com/oakland/oakland_01edfd09-87af-41f5-a8a8-37b43e569da5.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-ddf75ddfbc1d/session-4fca769186e0/transcript.csv
oakland,b53dfb351a80,2022-09-12 17:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/188d89d93c23?s=0,https://oakland.legistar1.com/oakland/meetings/2022/9/8727_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_22-09-12_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/ad71a38cb692196f3a7e64186ca1c0823bd815452ab52ff1b8ab7761867c023c-video.mp4?alt=media,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-oakland-ba81c097/event-188d89d93c23/session-b53dfb351a80/transcript.csv
